date,transaction
2006-01-01,Pittsburgh Pirates Signed C Paul Chiaffredo to a Minor League contract.
2006-01-03,"Chicago Cubs Signed OF Marquis Grissom, INF Augie Ojeda and OF Michael Restovich to Minor League contracts with invitations to Spring Training."
2006-01-03,Houston Astros Signed OF Preston Wilson to a one-year contract.
2006-01-03,San Diego Padres Signed RHP Dewon Brazelton to a one-year contract.
2006-01-03,San Francisco Giants Designated LHP Brian Burres for assignment.
2006-01-03,Texas Rangers Signed RHP Joselo Diaz and LHP Brian Anderson to Minor League contracts with invitations to Spring Training.
2006-01-03,Toronto Blue Jays Signed C Jason Phillips to a Minor League contract with an invitation to Spring Training.
2006-01-04,Baltimore Orioles Signed 1B Jeff Conine to a one-year contract with a club option for 2007.
2006-01-04,Chicago White Sox Agreed to terms with INF Rob Mackowiak on a two-year contract with a club option for 2008.
2006-01-04,"Detroit Tigers Signed INF Ramon Santiago, OF Ryan Ludwick and LHP Hector Mercado to Minor League contracts with invitations to Spring Training."
2006-01-04,Florida Marlins Designated C John Baker and INF Josh Wilson for assignment; Signed RHP Kerry Ligtenberg to a Minor League contract with an invitation to Spring Training.
2006-01-04,Los Angeles Dodgers Acquired RHP Jae Seo and LHP Tim Hamulack from the New York Mets in exchange for RHP Duaner Sanchez and RHP Steve Schmoll.
2006-01-04,Milwaukee Brewers Signed RHP Dan Kolb to a one-year contract.
2006-01-04,Minnesota Twins Signed LHP Gabe White to a Minor League contract with an invitation to Spring Training.
2006-01-04,New York Mets Acquired RHP Duaner Sanchez and RHP Steve Schmoll from the Dodgers in exchange for RHP Jae Seo and LHP Tim Hamulack; Signed INF Bret Boone to a Minor League contract with an invitation to Spring Training.
2006-01-04,Pittsburgh Pirates Signed OF Jeromy Burnitz to a one-year contract with a mutual option for 2007 and designated INF J.J. Furmaniak for assignment.
2006-01-04,"San Diego Padres Acquired 1B Adrian Gonzalez, OF Terrmel Sledge and RHP Chris Young from the Texas Rangers in exchange for RHP Adam Eaton, RHP Akinori Otsuka and C Billy Killian."
2006-01-04,"Texas Rangers Acquired RHP Adam Eaton, RHP Akinori Otsuka and C Billy Killian in exchange for RHP Chris Young, 1B Adrian Gonzalez and OF Terrmel Sledge."
2006-01-05,"Minnesota Twins Invited nonroster players C Kyle Geiger, C Kyle Phillips, INF Luis Maza, INF Tommy Watkins, OF Josh Rabe, OF Denard Span, LHP Ricky Barrett, and LHP Glen Perkins to Spring Training; Re-signed INF Glenn Williams to a Minor League contract and invited him to Spring Training."
2006-01-05,New York Yankees Signed INF Miguel Cairo to a one-year contract.
2006-01-05,Oakland Athletics Signed LHP Randy Keisler and C Raul Casanova to Minor League contracts with invitations to Spring Training.
2006-01-05,Philadelphia Phillies Signed RHP Ryan Franklin to a one-year contract.
2006-01-05,"Pittsburgh Pirates Signed RHP Brandon Duckworth, RHP Marty McLeary, LHP C. J. Nitkowski, RHP Nerio Rodriguez, and RHP Scott Strickland to Minor League contracts with invitations to attend Spring Training."
2006-01-05,Seattle Mariners Signed RHP Rafael Soriano to a one-year contract.
2006-01-05,Washington Nationals Signed INF Jamey Carroll to a one-year contract.
2006-01-06,Atlanta Braves Signed Chris Reitsma to a one-year deal and signed Eddie Perez and Brian Jordan to Minor League contracts. Perez and Jordan have been invited to Spring Training camp.
