date,transaction
2005-01-03,"Cleveland Indians Sold the contract of non-roster infielder Erick Almonte to the Nippon Ham Fighters, Japan Pacific League."
2005-01-03,New York Yankees Re-signed RHP Tanyon Sturtze to a one-year contract with a club option for 2006.
2005-01-04,Detroit Tigers Agreed to terms on a one-year contract with INF Ramon Martinez.
2005-01-04,Minnesota Twins Signed RHP Pat Strange and INF Brent Abernathy to minor league contracts.
2005-01-04,Seattle Mariners Agreed to terms on a contract with SS Pokey Reese for the 2005 season with a club option for 2006; Placed INF Jolbert Cabrera on unconditional release waivers to allow him to play in Japan.
2005-01-04,Texas Rangers Jeff Zimmerman's minor league contract was voided by the Commissioner's Office.
2005-01-05,Boston Red Sox Signed RHP Josias Manzanillo to a minor league contract and invited him to Spring Training.
2005-01-06,Chicago White Sox Signed C A.J. Pierzynski to a one-year contract.
2005-01-06,Colorado Rockies Signed OF Dustan Mohr and INF Desi Relaford to one-year contracts with mutual options for 2006 and sent OF Tony Miller outright to Triple-A Colorado Springs.
2005-01-06,Detroit Tigers Designated OF Alexis Gomez for assignment.
2005-01-06,Acquired C Vance Wilson from the New York Mets in exchange for minor league INF Anderson Hernandez.
2005-01-06,Florida Marlins Signed RHP Ismael Valdez and RHP John Riedling to one-year contracts.
2005-01-06,"Houston Astros Signed OF Charles Gipson, LHP Phil Norton and 1B Carlos Rivera to minor league contracts with invitations to Spring Training."
2005-01-06,Kansas City Royals Signed RHP Ryan Jensen and OF Emil Brown to minor league contracts with invitations to Spring Training.
2005-01-06,New York Mets Traded C Vance Wilson to the Detroit Tigers in exchange for SS Anderson Hernandez.
2005-01-06,"Pittsburgh Pirates Agreed to terms with RHP Kirk Bullinger, RHP Brian Mallette, C Paul Chiaffredo and INF Graham Koonce on minor league contracts with invitations to Spring Training."
2005-01-06,St. Louis Cardinals Signed 2B Mark Grudzielanek to a one-year contract.
2005-01-06,Toronto Blue Jays Signed C Gregg Zaun to a one-year contract with an option for 2006.
2005-01-06,Washington Nationals Agreed to terms with OF/1B Brad Wilkerson on a one-year contract.
2005-01-07,Atlanta Braves Agreed to terms with LHP Gabe White on a one-year contract.
2005-01-07,Chicago White Sox Designated C Jamie Burke for assignment.
2005-01-07,Cleveland Indians Signed 2B Warren Morris to a minor league contract and invited him to Spring Training.
2005-01-07,Detroit Tigers Agreed to terms with 1B Carlos Pena on a one-year contract.
